Format Version,1.24,Take Name,VectorSurgeTrials_013SNAP,Take Notes,,Capture Frame Rate,60,Export Frame Rate,60,Capture Start Time,2024-09-10 04.04.56.425 PM,Capture Start Frame,33991,Total Frames in Take,9894,Total Exported Frames,9894,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,
,Name,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,,,,,,,,,,
,ID,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,
28,0.466667,0.48338,0.100951,0.411571,3233.170654,-4.297922,1127.577026,10.597536,-7.035305,42.866432,-2577.206543,-2874.83374,33.281429,,,,,,,,,,
29,0.483333,0.47215,0.047203,0.445549,3233.205322,-4.314166,1127.550171,10.593384,-7.128162,42.879192,-2577.195068,-2874.893066,33.2421,,,,,,,,,,
30,0.5,0.460858,0.008424,0.450645,3233.246826,-4.321001,1127.537476,10.606796,-7.17527,42.900673,-2577.175537,-2874.756104,33.278996,,,,,,,,,,
31,0.516667,0.450107,-0.041251,0.457676,3233.281982,-4.33089,1127.526855,10.741512,-7.079144,42.643429,-2577.231201,-2874.959473,33.174564,,,,,,,,,,
32,0.533333,0.429662,-0.046141,0.429688,3233.275879,-4.288481,1127.520874,10.592152,-7.113338,42.791725,-2577.20752,-2874.818359,33.294884,,,,,,,,,,
33,0.55,0.422469,-0.046436,0.399078,3233.258545,-4.272472,1127.505737,10.641081,-7.080259,42.75729,-2577.21582,-2874.864746,33.250179,,,,,,,,,,
34,0.566667,0.438654,-0.031649,0.422172,3233.250488,-4.293484,1127.519897,10.596428,-7.07725,42.847725,-2577.196533,-2874.799316,33.285393,,,,,,,,,,
35,0.583333,0.402678,-0.019681,0.45582,3233.270996,-4.311437,1127.562012,10.587893,-7.036586,42.820145,-2577.194824,-2874.83252,33.283077,,,,,,,,,,
36,0.6,0.430592,-0.003853,0.42878,3233.26123,-4.307154,1127.532104,10.608653,-7.164678,42.757896,-2577.198486,-2874.87793,33.223061,,,,,,,,,,
37,0.616667,0.446509,0.023217,0.421475,3233.237061,-4.307975,1127.549438,10.526931,-6.946868,42.700203,-2577.200439,-2874.883789,33.267258,,,,,,,,,,
38,0.633333,0.459738,0.021744,0.447703,3233.225342,-4.318101,1127.564331,10.559418,-7.014955,42.765808,-2577.202393,-2874.827637,33.313301,,,,,,,,,,
39,0.65,0.475094,-0.00379,0.465,3233.217529,-4.326831,1127.57666,10.550464,-6.9748,42.811501,-2577.197266,-2874.810791,33.293777,,,,,,,,,,
40,0.666667,0.468931,-0.017705,0.445974,3233.206299,-4.307446,1127.583008,10.631565,-7.120571,42.736767,-2577.205078,-2874.848145,33.256596,,,,,,,,,,
41,0.683333,0.468777,-0.004381,0.4809,3233.205078,-4.31104,1127.574463,10.698519,-7.18422,42.728458,-2577.225586,-2874.908936,33.250286,,,,,,,,,,
42,0.7,0.457629,0.033334,0.47421,3233.231445,-4.310284,1127.555908,10.577679,-7.031741,42.826633,-2577.182861,-2874.856201,33.266556,,,,,,,,,,
43,0.716667,0.454577,0.033719,0.458007,3233.23584,-4.309239,1127.537598,10.670649,-7.247825,42.76606,-2577.194092,-2874.853516,33.261612,,,,,,,,,,
44,0.733333,0.442992,0.023251,0.456542,3233.212891,-4.293717,1127.540771,10.596626,-7.087857,42.775944,-2577.208252,-2874.848877,33.303726,,,,,,,,,,
