Format Version,1.24,Take Name,VectorSurgeTrials_013SNAP,Take Notes,,Capture Frame Rate,60,Export Frame Rate,60,Capture Start Time,2024-09-10 04.04.56.425 PM,Capture Start Frame,33991,Total Frames in Take,9894,Total Exported Frames,9894,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,
,Name,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,,,,,,,,,,
,ID,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,
2121,35.35,0.413329,-0.004401,0.436022,3233.275635,-4.30715,1127.569702,10.574314,-7.012355,42.846203,-2577.204346,-2874.816406,33.321144,,,,,,,,,,
2122,35.366667,0.440488,-0.006194,0.426595,3233.270996,-4.313713,1127.546509,10.619233,-7.10092,42.726536,-2577.227539,-2874.930664,33.207127,,,,,,,,,,
2123,35.383333,0.44966,-0.003462,0.403239,3233.282715,-4.310616,1127.536865,10.462154,-6.874217,42.824619,-2577.205078,-2874.851807,33.297161,,,,,,,,,,
2124,35.4,0.45118,-0.027406,0.427682,3233.265137,-4.321594,1127.554443,10.5905,-7.091779,42.819557,-2577.203125,-2874.884521,33.287445,,,,,,,,,,
2125,35.416667,0.453681,-0.009532,0.414635,3233.250244,-4.317996,1127.548706,10.559195,-7.102213,42.784088,-2577.208252,-2874.905518,33.276539,,,,,,,,,,
2126,35.433333,0.443417,0.013213,0.408958,3233.240479,-4.293735,1127.548706,10.519698,-7.019642,42.812805,-2577.189697,-2874.846924,33.251495,,,,,,,,,,
2127,35.45,0.438649,0.014172,0.425437,3233.25,-4.310202,1127.574097,10.609406,-7.03297,42.768993,-2577.224854,-2874.82666,33.284298,,,,,,,,,,
2128,35.466667,0.444722,0.007361,0.422573,3233.235107,-4.310076,1127.574829,10.586314,-6.957208,42.607513,-2577.274658,-2874.976807,33.209084,,,,,,,,,,
2129,35.483333,0.459391,-0.02917,0.44577,3233.231689,-4.320956,1127.581665,10.65024,-7.01313,42.717896,-2577.249023,-2874.937744,33.155972,,,,,,,,,,
2130,35.5,0.483446,-0.026208,0.484392,3233.237061,-4.323438,1127.591431,10.650053,-7.101527,42.842999,-2577.225586,-2874.838867,33.241879,,,,,,,,,,
2131,35.516667,0.455829,-0.03422,0.445774,3233.254883,-4.323018,1127.562744,10.514205,-6.919902,42.824234,-2577.235596,-2874.878662,33.266651,,,,,,,,,,
2132,35.533333,0.449408,0.003687,0.407741,3233.204102,-4.280628,1127.58252,10.694569,-7.257465,42.797768,-2577.2146,-2874.927246,33.192432,,,,,,,,,,
2133,35.55,0.457263,0.030078,0.426052,3233.236328,-4.299704,1127.585449,10.633286,-7.088338,42.876114,-2577.189697,-2874.843262,33.249176,,,,,,,,,,
2134,35.566667,0.474197,0.066409,0.445081,3233.228271,-4.284522,1127.585938,10.628374,-7.009845,42.810982,-2577.238281,-2874.847168,33.282413,,,,,,,,,,
2135,35.583333,0.446353,0.087643,0.483391,3233.152344,-4.263971,1127.613403,10.612782,-7.027661,42.708561,-2577.252686,-2874.924561,33.216164,,,,,,,,,,
2136,35.6,0.454342,0.095368,0.520959,3233.095459,-4.249292,1127.62793,10.650162,-7.121665,42.788395,-2577.202881,-2874.856934,33.235676,,,,,,,,,,
2137,35.616667,0.483419,0.098785,0.54326,3233.089111,-4.284597,1127.619995,10.61476,-7.15825,42.813911,-2577.208252,-2874.820312,33.28474,,,,,,,,,,
2138,35.633333,0.523474,0.094657,0.531165,3233.134277,-4.303124,1127.58667,10.617567,-7.092972,42.712742,-2577.223877,-2874.924805,33.223423,,,,,,,,,,
2139,35.65,0.514116,0.063544,0.525307,3233.144043,-4.253385,1127.581543,10.5766,-7.090316,42.855244,-2577.215088,-2874.815918,33.290783,,,,,,,,,,
2140,35.666667,0.527227,0.056037,0.507456,3233.167969,-4.25505,1127.583252,10.576214,-7.049515,42.798222,-2577.200928,-2874.895996,33.261349,,,,,,,,,,
2141,35.683333,0.603333,0.078515,0.563567,3233.192383,-4.360769,1127.536011,10.643591,-7.073296,42.683701,-2577.236816,-2874.995117,33.200333,,,,,,,,,,
2142,35.7,0.630486,0.089716,0.661384,3233.169678,-4.386642,1127.536621,10.555646,-7.010358,42.773609,-2577.200928,-2874.895996,33.240055,,,,,,,,,,
2143,35.716667,0.584452,0.072822,0.640948,3233.179443,-4.337614,1127.521606,10.575029,-7.065828,42.831509,-2577.184082,-2874.780029,33.303013,,,,,,,,,,
2144,35.733333,0.666693,0.036891,0.685942,3233.228516,-4.37797,1127.440063,10.680678,-7.11084,42.762836,-2577.211426,-2874.898193,33.249012,,,,,,,,,,
2145,35.75,0.751633,0.008158,0.725377,3233.219971,-4.419151,1127.396851,10.451506,-6.964868,42.804203,-2577.215088,-2874.877441,33.278248,,,,,,,,,,
2146,35.766667,0.604349,-0.042504,0.562338,3233.22583,-4.353353,1127.324219,10.588234,-7.012589,42.819469,-2577.2146,-2874.838867,33.280956,,,,,,,,,,
2147,35.783333,0.551486,-0.054964,0.421908,3233.27832,-4.346018,1127.205078,10.618093,-6.982427,42.71624,-2577.236816,-2874.964355,33.207333,,,,,,,,,,
2148,35.8,0.480231,-0.202434,0.280886,3233.464111,-4.366844,1127.025879,10.517946,-7.057374,42.782352,-2577.212891,-2874.905029,33.24321,,,,,,,,,,
2149,35.816667,0.392418,-0.322141,0.153305,3233.615479,-4.265731,1126.890259,10.466496,-7.031134,42.841484,-2577.192139,-2874.868652,33.294968,,,,,,,,,,
2150,35.833333,0.354843,-0.424064,0.053984,3233.746826,-4.259567,1126.817505,10.497647,-7.041977,42.841949,-2577.185059,-2874.811279,33.287712,,,,,,,,,,
2151,35.85,0.084294,-0.625083,-0.746756,3233.45752,-4.058645,1126.855347,10.574556,-6.961996,42.698334,-2577.243896,-2874.956055,33.215553,,,,,,,,,,
2152,35.866667,-0.00106,-0.722268,-1.561796,3232.792236,-3.95609,1127.008423,10.606616,-7.069393,42.817421,-2577.225342,-2874.874268,33.228729,,,,,,,,,,
2153,35.883333,0.062504,-0.540532,-1.865856,3232.30835,-3.859134,1127.099243,10.540837,-7.02895,42.792679,-2577.237305,-2874.915771,33.231548,,,,,,,,,,
2154,35.9,0.107467,-0.235381,-1.899882,3231.984131,-3.850733,1127.239502,10.638514,-7.058352,42.659195,-2577.263672,-2874.987549,33.19318,,,,,,,,,,
2155,35.916667,0.105003,-0.056982,-1.929554,3231.771484,-3.797886,1127.350342,10.599938,-6.96439,42.781712,-2577.229736,-2874.884521,33.248611,,,,,,,,,,
2156,35.933333,0.195307,-0.034162,-1.669344,3231.98291,-3.869975,1127.261597,10.632103,-6.994152,42.761429,-2577.242676,-2874.91626,33.228321,,,,,,,,,,
2157,35.95,0.36663,0.016801,-1.422715,3232.195557,-3.906907,1127.18811,10.626165,-7.063173,42.680428,-2577.26416,-2874.965088,33.231758,,,,,,,,,,
2158,35.966667,0.484613,0.079652,-1.17131,3232.120117,-3.832589,1127.236816,10.629744,-7.110034,42.826912,-2577.218262,-2874.826416,33.278011,,,,,,,,,,
2159,35.983333,0.296102,0.020558,-1.275195,3232.070801,-3.773125,1127.36853,10.585936,-7.063478,42.873707,-2577.208008,-2874.842773,33.262287,,,,,,,,,,
2160,36,0.312472,0.04433,-1.247469,3232.11377,-3.833948,1127.346802,10.598053,-7.089654,42.781288,-2577.229004,-2874.889893,33.241543,,,,,,,,,,
2161,36.016667,0.538822,0.088024,-1.064773,3232.290283,-4.169472,1127.060913,10.651555,-7.035566,42.700001,-2577.258545,-2874.92627,33.188015,,,,,,,,,,
2162,36.033333,0.60901,0.009593,-1.154052,3232.094238,-4.044717,1127.164673,10.702159,-7.188584,42.787933,-2577.199219,-2874.810547,33.227547,,,,,,,,,,
2163,36.05,0.662363,0.056205,-1.214161,3231.969727,-3.992366,1127.260254,10.618364,-7.092908,42.753185,-2577.206299,-2874.914062,33.224396,,,,,,,,,,
2164,36.066667,0.679155,0.086808,-1.276385,3231.962646,-3.978376,1127.291382,10.606824,-6.988013,42.717796,-2577.220459,-2874.975586,33.230278,,,,,,,,,,
2165,36.083333,0.586015,0.020612,-1.407815,3232.080811,-4.030018,1127.222046,10.63351,-7.207689,42.920166,-2577.166992,-2874.751709,33.275822,,,,,,,,,,
2166,36.1,0.222206,-0.010582,-1.666964,3232.032959,-3.78135,1127.437012,10.654128,-7.076457,42.834373,-2577.190186,-2874.897461,33.232929,,,,,,,,,,
2167,36.116667,0.477726,0.028663,-1.449473,3232.174561,-4.078871,1127.148315,10.709899,-7.215145,42.76926,-2577.201172,-2874.933105,33.252651,,,,,,,,,,
2168,36.133333,0.711058,0.117213,-1.069971,3232.437256,-4.383207,1126.830078,10.616235,-7.14151,42.848858,-2577.181641,-2874.787109,33.328175,,,,,,,,,,
2169,36.15,0.648175,0.101394,-1.028069,3232.486084,-4.403733,1126.698975,10.602182,-7.078266,42.832348,-2577.167969,-2874.796631,33.336391,,,,,,,,,,
2170,36.166667,0.599591,0.082657,-1.042611,3232.445312,-4.370183,1126.676147,10.560365,-7.057442,42.682476,-2577.217285,-2874.978271,33.231724,,,,,,,,,,
2171,36.183333,0.664608,0.133854,-0.957375,3232.306152,-4.23305,1126.836792,10.59862,-7.124742,42.709244,-2577.231689,-2874.974365,33.223866,,,,,,,,,,
2172,36.2,0.647289,0.041114,-0.966063,3232.342285,-4.314584,1126.759399,10.654117,-7.124905,42.825989,-2577.205566,-2874.837646,33.276546,,,,,,,,,,
2173,36.216667,0.696157,0.260765,-0.899585,3232.168945,-4.262152,1126.80249,10.620198,-7.130193,42.799637,-2577.218994,-2874.859131,33.262779,,,,,,,,,,
2174,36.233333,0.478192,-0.031876,-0.928152,3232.551758,-4.38691,1126.713501,10.533702,-6.988628,42.886215,-2577.193604,-2874.838379,33.26495,,,,,,,,,,
2175,36.25,0.326344,-0.118187,-0.960459,3232.688477,-4.309454,1126.821289,10.608994,-6.968614,42.793503,-2577.21167,-2874.872803,33.246185,,,,,,,,,,
2176,36.266667,0.23357,-0.267722,-0.821109,3232.853027,-4.201421,1126.849243,10.644126,-7.118883,42.695946,-2577.252441,-2874.959961,33.205742,,,,,,,,,,
2177,36.283333,0.200663,-0.358265,-0.69417,3233.018555,-4.299725,1126.77771,10.59905,-7.08543,42.686237,-2577.237793,-2874.908203,33.234077,,,,,,,,,,
2178,36.3,0.136627,-0.509259,-0.475771,3233.017334,-4.373977,1126.803467,10.629781,-7.119798,42.888039,-2577.179199,-2874.806152,33.278664,,,,,,,,,,
2179,36.316667,0.262346,-0.355161,-0.531208,3233.01709,-4.510702,1126.881348,10.591078,-7.162353,42.870041,-2577.185791,-2874.816406,33.254387,,,,,,,,,,
2180,36.333333,0.430993,-0.311796,-0.340201,3232.760742,-4.449209,1127.115845,10.603962,-7.099915,42.75148,-2577.224609,-2874.946533,33.233711,,,,,,,,,,
2181,36.35,0.48659,-0.277633,-0.275583,3232.667236,-4.473838,1127.164673,10.646802,-7.277582,42.876568,-2577.177979,-2874.823242,33.289764,,,,,,,,,,
2182,36.366667,0.511502,-0.25334,-0.291195,3232.626465,-4.453004,1127.15918,10.592471,-7.100917,42.894867,-2577.171143,-2874.813721,33.274605,,,,,,,,,,
2183,36.383333,0.482489,-0.261983,-0.396606,3232.580322,-4.412116,1127.100586,10.489413,-7.029706,42.772736,-2577.210693,-2874.927979,33.220089,,,,,,,,,,
2184,36.4,0.443433,-0.2518,-0.481739,3232.622314,-4.398459,1127.10083,10.697032,-7.142148,42.779419,-2577.22876,-2874.877686,33.22794,,,,,,,,,,
2185,36.416667,0.356812,-0.273836,-0.385322,3232.80249,-4.251562,1127.194092,10.598461,-7.064981,42.798302,-2577.2146,-2874.807129,33.284824,,,,,,,,,,
2186,36.433333,0.264202,-0.109686,-0.08049,3233.107178,-4.107041,1127.390015,10.657782,-7.153567,42.658249,-2577.246582,-2874.918701,33.227501,,,,,,,,,,
2187,36.45,0.177972,-0.005681,0.342984,3233.418945,-4.163496,1127.481812,10.627347,-7.119379,42.82415,-2577.209473,-2874.904785,33.265091,,,,,,,,,,
2188,36.466667,0.103011,-0.079603,0.388433,3233.511719,-4.369374,1127.478149,10.66332,-7.123331,42.82272,-2577.182129,-2874.914795,33.249565,,,,,,,,,,
2189,36.483333,0.213983,-0.069608,0.418269,3233.450684,-4.332695,1127.422974,10.636029,-7.005785,42.755131,-2577.20459,-2874.931641,33.215477,,,,,,,,,,
2190,36.5,0.245111,-0.038335,0.376467,3233.450195,-4.305905,1127.405884,10.616801,-7.129001,42.772858,-2577.211182,-2874.919189,33.210724,,,,,,,,,,
2191,36.516667,0.278145,-0.114735,0.303818,3233.516602,-4.319101,1127.43689,10.58292,-7.100328,42.936275,-2577.18042,-2874.723877,33.323883,,,,,,,,,,
2192,36.533333,0.324883,-0.234247,0.192142,3233.607422,-4.342915,1127.449463,10.569569,-7.036539,42.808979,-2577.217773,-2874.908936,33.237816,,,,,,,,,,
2193,36.55,0.30798,-0.342975,0.102815,3233.643311,-4.333577,1127.477417,10.61097,-7.108305,42.702644,-2577.237793,-2874.956787,33.215725,,,,,,,,,,
2194,36.566667,0.206316,-0.409478,-0.041504,3233.720947,-4.301753,1127.474243,10.536346,-6.980697,42.863575,-2577.19751,-2874.856689,33.293957,,,,,,,,,,
2195,36.583333,0.210459,-0.464393,-0.102318,3233.773682,-4.261683,1127.41626,10.641456,-7.138095,42.870808,-2577.195801,-2874.815674,33.255329,,,,,,,,,,
2196,36.6,0.232207,-0.495412,-0.129285,3233.774658,-4.224535,1127.369141,10.622494,-7.174661,42.725292,-2577.216064,-2874.909912,33.234169,,,,,,,,,,
2197,36.616667,0.226852,-0.570557,-0.128013,3233.772949,-4.229585,1127.431763,10.62901,-7.078219,42.798595,-2577.203369,-2874.875732,33.255817,,,,,,,,,,
2198,36.633333,0.249198,-0.574753,-0.10031,3233.783691,-4.165327,1127.481445,10.638843,-7.128631,42.805515,-2577.198975,-2874.860352,33.25832,,,,,,,,,,
2199,36.65,0.276739,-0.563643,-0.106256,3233.768555,-4.149324,1127.481934,10.57043,-6.89893,42.69862,-2577.262939,-2875.010254,33.189213,,,,,,,,,,
2200,36.666667,0.247714,-0.540761,-0.139293,3233.746094,-4.168468,1127.449829,10.559542,-7.04652,42.8605,-2577.202148,-2874.836914,33.273193,,,,,,,,,,
2201,36.683333,0.330082,-0.505826,-0.142305,3233.689453,-4.193597,1127.520386,10.51328,-7.013674,42.899761,-2577.194824,-2874.768555,33.332985,,,,,,,,,,
2202,36.7,0.415451,-0.370435,-0.076004,3233.566895,-4.23816,1127.650879,10.639883,-7.088812,42.645107,-2577.255615,-2874.979736,33.182484,,,,,,,,,,
2203,36.716667,0.436433,-0.094406,0.171595,3233.303223,-4.334367,1127.804199,10.689271,-7.220797,42.706982,-2577.221191,-2874.920898,33.218292,,,,,,,,,,
2204,36.733333,0.539575,0.07779,0.48568,3232.995361,-4.355441,1127.978271,10.546284,-7.074353,42.869347,-2577.163086,-2874.790527,33.331383,,,,,,,,,,
2205,36.75,0.561082,0.07752,0.547478,3232.93335,-4.338689,1127.949097,10.582116,-7.0974,42.800827,-2577.192627,-2874.848389,33.274799,,,,,,,,,,
2206,36.766667,0.513913,0.052343,0.504258,3232.952148,-4.3267,1127.885254,10.52546,-7.016263,42.794315,-2577.23291,-2874.911133,33.282894,,,,,,,,,,
2207,36.783333,0.502982,0.001533,0.513176,3232.974854,-4.33653,1127.906494,10.550633,-7.058934,42.806107,-2577.215332,-2874.848633,33.276459,,,,,,,,,,
2208,36.8,0.517381,-0.054854,0.502154,3232.996582,-4.33357,1127.890503,10.627913,-7.041705,42.787579,-2577.239258,-2874.883057,33.276566,,,,,,,,,,
2209,36.816667,0.520249,-0.097865,0.491925,3232.978516,-4.301844,1127.883667,10.58759,-6.937355,42.610985,-2577.306152,-2875.02002,33.185169,,,,,,,,,,
2210,36.833333,0.531957,-0.121786,0.491212,3233.004639,-4.326388,1127.914429,10.660845,-7.125735,42.74519,-2577.229004,-2874.87085,33.265965,,,,,,,,,,
2211,36.85,0.537235,-0.105506,0.500229,3233.011475,-4.337469,1127.927734,10.52631,-6.879729,42.781609,-2577.194336,-2874.934814,33.26656,,,,,,,,,,
2212,36.866667,0.508864,-0.003368,0.480892,3233.015625,-4.314839,1127.871216,10.666076,-7.132942,42.635017,-2577.253906,-2875.00293,33.19627,,,,,,,,,,
2213,36.883333,0.518091,0.008528,0.517003,3232.947266,-4.325575,1127.911011,10.679983,-7.22631,42.778675,-2577.218506,-2874.867432,33.236202,,,,,,,,,,
2214,36.9,0.514892,0.028488,0.551924,3232.929688,-4.340579,1127.931274,10.578217,-7.017822,42.850922,-2577.214355,-2874.806641,33.290466,,,,,,,,,,
2215,36.916667,0.499962,0.020455,0.523283,3232.927734,-4.315755,1127.875732,10.641128,-7.14701,42.792107,-2577.239502,-2874.860352,33.22657,,,,,,,,,,
2216,36.933333,0.481035,0.014891,0.521404,3232.9375,-4.328967,1127.875488,10.611477,-6.971275,42.811108,-2577.227295,-2874.890381,33.258957,,,,,,,,,,
2217,36.95,0.479541,-0.006449,0.518912,3232.958496,-4.341581,1127.888428,10.627148,-7.070251,42.846058,-2577.195557,-2874.87207,33.25264,,,,,,,,,,
2218,36.966667,0.48645,-0.016451,0.494984,3232.967529,-4.323455,1127.86792,10.647008,-7.103169,42.808258,-2577.198486,-2874.866211,33.256874,,,,,,,,,,
2219,36.983333,0.48682,0.009657,0.491394,3232.959717,-4.341288,1127.869263,10.565859,-7.058282,42.840652,-2577.19751,-2874.845459,33.295918,,,,,,,,,,
2220,37,0.506953,0.029964,0.534208,3232.933105,-4.368068,1127.897827,10.625234,-7.167473,42.912552,-2577.193848,-2874.763672,33.282047,,,,,,,,,,
2221,37.016667,0.515114,0.022374,0.532375,3232.932129,-4.353225,1127.872437,10.673933,-7.10283,42.735077,-2577.230957,-2874.960205,33.210693,,,,,,,,,,
2222,37.033333,0.513208,-0.035512,0.574579,3232.918457,-4.362534,1127.876709,10.740976,-7.118999,42.775806,-2577.21582,-2874.884277,33.255348,,,,,,,,,,
2223,37.05,0.521444,-0.067224,0.618485,3232.907471,-4.359204,1127.905762,10.607365,-7.087631,42.875076,-2577.188477,-2874.801758,33.306007,,,,,,,,,,
2224,37.066667,0.513862,-0.04827,0.594213,3232.914062,-4.338777,1127.916504,10.640537,-7.124972,42.800289,-2577.223633,-2874.88623,33.258492,,,,,,,,,,
2225,37.083333,0.547063,0.017964,0.614883,3232.966064,-4.3698,1127.863037,10.615897,-7.10309,42.753193,-2577.227783,-2874.899902,33.244949,,,,,,,,,,
2226,37.1,0.534215,0.047521,0.620422,3233.016602,-4.37108,1127.828369,10.621396,-7.058372,42.835079,-2577.201904,-2874.867432,33.247318,,,,,,,,,,
2227,37.116667,0.562459,0.00397,0.644773,3233.068604,-4.375759,1127.792358,10.590052,-7.1263,42.774288,-2577.216064,-2874.838379,33.261032,,,,,,,,,,
2228,37.133333,0.555873,-0.019022,0.618821,3233.071777,-4.354868,1127.730103,10.678284,-7.160805,42.866726,-2577.195312,-2874.793701,33.299599,,,,,,,,,,
2229,37.15,0.520589,0.060815,0.594167,3233.116943,-4.380132,1127.676636,10.633344,-7.038139,42.729286,-2577.243408,-2874.94751,33.223484,,,,,,,,,,
2230,37.166667,0.470131,0.032986,0.516872,3233.202393,-4.380355,1127.580933,10.542849,-7.028635,42.791424,-2577.208252,-2874.847412,33.256321,,,,,,,,,,
2231,37.183333,0.412217,0.007894,0.44027,3233.271484,-4.340144,1127.501221,10.64903,-7.039066,42.707115,-2577.243164,-2874.962402,33.188942,,,,,,,,,,
2232,37.2,0.391758,-0.028376,0.399126,3233.302002,-4.297286,1127.477661,10.597163,-7.020038,42.735725,-2577.242432,-2874.897217,33.242203,,,,,,,,,,
2233,37.216667,0.4049,-0.048239,0.388077,3233.342041,-4.299124,1127.508423,10.652505,-7.106071,42.758305,-2577.227783,-2874.873291,33.289742,,,,,,,,,,
2234,37.233333,0.438756,-0.029764,0.422056,3233.282959,-4.316211,1127.522461,10.648128,-7.087837,42.807304,-2577.213135,-2874.833984,33.285992,,,,,,,,,,
2235,37.25,0.441607,-0.031098,0.441917,3233.267822,-4.319102,1127.505249,10.630353,-7.002704,42.694782,-2577.256836,-2874.955078,33.238556,,,,,,,,,,
2236,37.266667,0.431123,-0.04899,0.435321,3233.270752,-4.303054,1127.537964,10.618374,-7.055481,42.764847,-2577.240234,-2874.88208,33.268909,,,,,,,,,,
2237,37.283333,0.420812,-0.059207,0.453508,3233.26416,-4.308234,1127.543701,10.653984,-7.091266,42.829536,-2577.189453,-2874.865967,33.278065,,,,,,,,,,
2238,37.3,0.430212,-0.027366,0.472209,3233.234375,-4.302133,1127.532593,10.608415,-7.102058,42.845638,-2577.18335,-2874.772217,33.317078,,,,,,,,,,
2239,37.316667,0.451964,-0.011201,0.496735,3233.253906,-4.305623,1127.5177,10.631383,-7.121897,42.691906,-2577.246338,-2874.889893,33.214134,,,,,,,,,,
2240,37.333333,0.424604,-0.0165,0.514798,3233.244629,-4.293189,1127.55957,10.596369,-7.02241,42.734898,-2577.256592,-2874.898438,33.262329,,,,,,,,,,
2241,37.35,0.254193,-0.12974,0.08753,3233.090576,-4.248654,1127.614746,10.630924,-7.007103,42.81855,-2577.215088,-2874.863525,33.278717,,,,,,,,,,
2242,37.366667,0.142734,-0.170823,-0.35506,3232.852539,-4.218731,1127.685547,10.594133,-7.053455,42.840359,-2577.202148,-2874.877441,33.271885,,,,,,,,,,
2243,37.383333,0.060031,-0.227133,-0.7773,3232.661865,-4.212782,1127.770386,10.607033,-7.065031,42.792397,-2577.212158,-2874.90332,33.265369,,,,,,,,,,
2244,37.4,0.016333,-0.278802,-1.021229,3232.525391,-4.185938,1127.811401,10.608183,-7.048889,42.759251,-2577.220215,-2874.890625,33.27322,,,,,,,,,,
2245,37.416667,0.029254,-0.219182,-1.083807,3232.358154,-4.188896,1127.860596,10.539514,-7.117049,42.849491,-2577.197754,-2874.833008,33.271408,,,,,,,,,,
2246,37.433333,0.077135,-0.192879,-1.048244,3232.277344,-4.233474,1127.868774,10.634573,-7.146755,42.764439,-2577.217773,-2874.830078,33.276955,,,,,,,,,,
2247,37.45,0.099542,-0.236623,-0.970907,3232.219727,-4.231852,1127.825439,10.591136,-6.988782,42.751282,-2577.206787,-2874.961182,33.223011,,,,,,,,,,
2248,37.466667,0.122258,-0.257046,-0.886955,3232.199951,-4.22961,1127.795288,10.646527,-7.109012,42.747932,-2577.210938,-2874.932373,33.222126,,,,,,,,,,
2249,37.483333,0.136489,-0.262144,-0.817371,3232.272949,-4.259636,1127.757568,10.587038,-6.997949,42.769394,-2577.225342,-2874.902344,33.246857,,,,,,,,,,
2250,37.5,0.106536,-0.241575,-0.792908,3232.335449,-4.266593,1127.755615,10.669981,-7.04195,42.743351,-2577.249268,-2874.878906,33.243187,,,,,,,,,,
2251,37.516667,0.111302,-0.178574,-0.745025,3232.368896,-4.243667,1127.824097,10.669582,-7.066212,42.766041,-2577.222412,-2874.883057,33.254326,,,,,,,,,,
2252,37.533333,0.097632,-0.087644,-0.669936,3232.437256,-4.245381,1127.891724,10.602468,-7.033917,42.758389,-2577.219727,-2874.877686,33.264473,,,,,,,,,,
2253,37.55,0.151949,0.02665,-0.327379,3232.663818,-4.24436,1127.847656,10.638366,-7.079479,42.748947,-2577.243408,-2874.889648,33.242306,,,,,,,,,,
2254,37.566667,0.37855,0.194844,0.316531,3232.968506,-4.30375,1127.737183,10.609601,-7.065066,42.758923,-2577.237793,-2874.873047,33.23801,,,,,,,,,,
2255,37.583333,0.484843,0.215751,0.576657,3233.093018,-4.376091,1127.640381,10.62746,-7.103581,42.715176,-2577.246826,-2874.924561,33.208832,,,,,,,,,,
2256,37.6,0.541287,0.216317,0.652587,3233.11084,-4.41305,1127.583252,10.599934,-7.034104,42.863537,-2577.193848,-2874.848145,33.249836,,,,,,,,,,
2257,37.616667,0.526073,0.206151,0.605711,3233.09375,-4.389827,1127.565186,10.567801,-6.996687,42.836536,-2577.195801,-2874.869873,33.276867,,,,,,,,,,
2258,37.633333,0.490071,0.196149,0.558779,3233.049561,-4.368102,1127.574219,10.607084,-7.059797,42.824486,-2577.196289,-2874.880127,33.256149,,,,,,,,,,
2259,37.65,0.472351,0.208158,0.525737,3233.045654,-4.375733,1127.572266,10.529049,-6.87127,42.746891,-2577.202637,-2874.934814,33.248264,,,,,,,,,,
2260,37.666667,0.459369,0.21359,0.48091,3233.049316,-4.362875,1127.591431,10.626533,-7.064039,42.815353,-2577.193359,-2874.911133,33.234474,,,,,,,,,,
2261,37.683333,0.469547,0.195571,0.522586,3233.023926,-4.363079,1127.608276,10.610541,-7.034007,42.847492,-2577.193604,-2874.881836,33.269348,,,,,,,,,,
2262,37.7,0.486682,0.189192,0.526645,3233.034912,-4.392302,1127.617188,10.593129,-7.010463,42.711952,-2577.21582,-2874.983643,33.220394,,,,,,,,,,
2263,37.716667,0.477764,0.139721,0.538161,3233.055664,-4.37634,1127.649048,10.585363,-7.055039,42.80946,-2577.184082,-2874.844238,33.283752,,,,,,,,,,
2264,37.733333,0.488466,0.112118,0.596661,3233.078613,-4.342515,1127.650513,10.589828,-7.008292,42.824207,-2577.193359,-2874.865234,33.26688,,,,,,,,,,
2265,37.75,0.537449,0.205243,0.559438,3233.025879,-4.298935,1127.64917,10.576376,-7.035778,42.699585,-2577.240234,-2874.932373,33.239769,,,,,,,,,,
2266,37.766667,0.502155,0.135837,0.493434,3233.124512,-4.344896,1127.650269,10.646468,-6.99311,42.794113,-2577.204834,-2874.853271,33.289333,,,,,,,,,,
2267,37.783333,0.463006,0.044596,0.451024,3233.227295,-4.32872,1127.5802,10.575004,-7.007427,42.821247,-2577.229492,-2874.810303,33.301121,,,,,,,,,,
2268,37.8,0.448371,-0.026917,0.422385,3233.294189,-4.350935,1127.556152,10.637946,-6.998122,42.651775,-2577.243896,-2874.967041,33.199291,,,,,,,,,,
2269,37.816667,0.432017,-0.040243,0.394761,3233.298584,-4.301069,1127.523315,10.555067,-6.962698,42.808769,-2577.210693,-2874.903809,33.270432,,,,,,,,,,
2270,37.833333,0.424121,-0.021406,0.407024,3233.30249,-4.294968,1127.508789,10.645729,-7.077498,42.765797,-2577.239258,-2874.90332,33.266647,,,,,,,,,,
2271,37.85,0.444085,-0.023413,0.420181,3233.283203,-4.296237,1127.529663,10.59746,-7.06493,42.871948,-2577.195801,-2874.724609,33.338543,,,,,,,,,,
2272,37.866667,0.439352,-0.009129,0.427926,3233.285645,-4.298573,1127.518677,10.586158,-7.034875,42.736145,-2577.23291,-2874.874512,33.252369,,,,,,,,,,
